dataset_code,layer_code,name,description,terrestrial,marine,freshwater,cellsize_equalarea,cellsize_lonlat,units,primary_type,primary_spatial_resolution,primary_source,start_year,start_month,start_day,end_year,end_month,end_day,derivation,month,is_surface,version
Bio-ORACLE,BO_calcite,Calcite (mean),Calcite concentration indicates the mean concentration of calcite (CaCO3) in oceans.,FALSE,TRUE,FALSE,7000,0.083333333,mol/mÅ,"Satellite (Aqua-MODIS), seasonal climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_chlomax,Chlorophyll A (maximum),"Chlorophyll A concentration indicates the concentration of photosynthetic pigment chlorophyll A (the most common ""green"" chlorophyll) in oceans. Please note that in shallow water these values may reflect any kind of autotrophic biomass.",FALSE,TRUE,FALSE,7000,0.083333333,mg/mÅ,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,maximum,NA,TRUE,1
Bio-ORACLE,BO_chlomean,Chlorophyll A (mean),"Chlorophyll A concentration indicates the concentration of photosynthetic pigment chlorophyll A (the most common ""green"" chlorophyll) in oceans. Please note that in shallow water these values may reflect any kind of autotrophic biomass.",FALSE,TRUE,FALSE,7000,0.083333333,mg/mÅ,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_chlomin,Chlorophyll A (minimum),"Chlorophyll A concentration indicates the concentration of photosynthetic pigment chlorophyll A (the most common ""green"" chlorophyll) in oceans. Please note that in shallow water these values may reflect any kind of autotrophic biomass.",FALSE,TRUE,FALSE,7000,0.083333333,mg/mÅ,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_chlorange,Chlorophyll A (range),"Chlorophyll A concentration indicates the concentration of photosynthetic pigment chlorophyll A (the most common ""green"" chlorophyll) in oceans. Please note that in shallow water these values may reflect any kind of autotrophic biomass.",FALSE,TRUE,FALSE,7000,0.083333333,mg/mÅ,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,range,NA,TRUE,1
Bio-ORACLE,BO_cloudmax,Cloud fraction (maximum),Cloud fraction indicates how much of the earth is covered by clouds. A bilinear interpolation was used to convert the data from 6 arcminutes to 5 arcminutes.,FALSE,TRUE,FALSE,7000,0.083333333,%,"Satellite (Terra-MODIS), monthly images",'',Reference: (NASA 2010) URL: http://neo.sci.gsfc.nasa.gov/Search.html,2005,1,1,2010,12,31,maximum,NA,TRUE,1
Bio-ORACLE,BO_cloudmean,Cloud fraction (mean),Cloud fraction indicates how much of the earth is covered by clouds.,FALSE,TRUE,FALSE,7000,0.083333333,%,"Satellite (Terra-MODIS), monthly images",'',Reference: (NASA 2010) URL: http://neo.sci.gsfc.nasa.gov/Search.html,2005,1,1,2010,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_cloudmin,Cloud fraction (minimum),Cloud fraction indicates how much of the earth is covered by clouds.,FALSE,TRUE,FALSE,7000,0.083333333,%,"Satellite (Terra-MODIS), monthly images",'',Reference: (NASA 2010) URL: http://neo.sci.gsfc.nasa.gov/Search.html,2005,1,1,2010,12,31,minimum,NA,TRUE,1
Bio-ORACLE,BO_damax,Diffuse attenuation coefficient at 490 nm (maximum),The diffuse attenuation coefficient is an indicator of water clarity. It expresses how deeply visible light in the blue to the green region of the spectrum penetrates in to the water column.,FALSE,TRUE,FALSE,7000,0.083333333,m^-1,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,maximum,NA,TRUE,1
Bio-ORACLE,BO_damean,Diffuse attenuation coefficient at 490 nm (mean),The diffuse attenuation coefficient is an indicator of water clarity. It expresses how deeply visible light in the blue to the green region of the spectrum penetrates in to the water column.,FALSE,TRUE,FALSE,7000,0.083333333,m^-1,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_damin,Diffuse attenuation coefficient at 490 nm (minimum),The diffuse attenuation coefficient is an indicator of water clarity. It expresses how deeply visible light in the blue to the green region of the spectrum penetrates in to the water column.,FALSE,TRUE,FALSE,7000,0.083333333,m^-1,"Satellite (Aqua-MODIS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,minimum,NA,TRUE,1
Bio-ORACLE,BO_dissox,Dissolved oxygen,Dissolved oxygen concentration [02],FALSE,TRUE,FALSE,7000,0.083333333,ml/l,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1898,1,1,2009,12,31,DIVA interpolation (540582 data points),NA,TRUE,1
Bio-ORACLE,BO_nitrate,Nitrate,This layer contains both [NO3] and [NO3+NO2] data. By this we mean chemically reactive dissolved inorganic nitrate and nitrate or nitrite. (It is important to note that data reported as [NO3] in the WOD09 should be used with caution because it is difficult to verify that the [NO3] (nitrate) data are [NO3+NO2] or [NO3]. (Boyer et al. 2009)),FALSE,TRUE,FALSE,7000,0.083333333,Â¾mol,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1928,1,1,2008,12,31,DIVA interpolation (189530 data points),NA,TRUE,1
Bio-ORACLE,BO_parmax,Photosynthetically available radiation (maximum),Photosynthetically Available Radiation (PAR) indicates the quantum energy flux from the Sun (in the spectral range 400-700 nm) reaching the ocean surface.,FALSE,TRUE,FALSE,7000,0.083333333,Einstein/m_/day,"Satellite (SeaWIFS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,1997,1,1,2009,12,31,maximum,NA,TRUE,1
Bio-ORACLE,BO_parmean,Photosynthetically available radiation (mean),Photosynthetically Available Radiation (PAR) indicates the quantum energy flux from the Sun (in the spectral range 400-700 nm) reaching the ocean surface.,FALSE,TRUE,FALSE,7000,0.083333333,Einstein/m_/day,"Satellite (SeaWIFS), monthly climatologies",'',Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,1997,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_ph,pH,Measure of acidity in the ocean.,FALSE,TRUE,FALSE,7000,0.083333333,unitless,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1910,1,1,2007,12,31,DIVA interpolation (117833 data points),NA,TRUE,1
Bio-ORACLE,BO_phosphate,Phosphate,Reactive ortho-phosphate concentration [HPO4^-2] in the ocean.,FALSE,TRUE,FALSE,7000,0.083333333,Â¾mol,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1922,1,1,1986,12,31,DIVA interpolation (226816 data points),NA,TRUE,1
Bio-ORACLE,BO_salinity,Salinity,Salinity indicates the dissolved salt content in the ocean.,FALSE,TRUE,FALSE,7000,0.083333333,PSS,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1961,1,1,2009,12,31,DIVA interpolation (532377 data points),NA,TRUE,1
Bio-ORACLE,BO_silicate,Silicate,This variable indicates the concentration of silicate or ortho-silicic acid [Si(OH)4] in the ocean,FALSE,TRUE,FALSE,7000,0.083333333,Â¾mol,in situ measurement,'',World Ocean Database (2009) Reference: (Boyer et al. 2009) URL: http://www.nodc.noaa.gov/,1930,1,1,2008,12,31,DIVA interpolation (234417 data points),NA,TRUE,1
Bio-ORACLE,BO_sstmax,Sea surface temperature (maximum),Sea surface temperature is the temperature of the water at the ocean surface. This parameter indicates the temperature of the topmost meter of the ocean water column.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",5 arcmin (9.2 km),Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,maximum,NA,TRUE,1
Bio-ORACLE,BO_sstmean,Sea surface temperature (mean),Sea surface temperature is the temperature of the water at the ocean surface. This parameter indicates the temperature of the topmost meter of the ocean water column.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",5 arcmin (9.2 km),Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,mean,NA,TRUE,1
Bio-ORACLE,BO_sstmin,Sea surface temperature (minimum),Sea surface temperature is the temperature of the water at the ocean surface. This parameter indicates the temperature of the topmost meter of the ocean water column.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",5 arcmin (9.2 km),Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,minimum,NA,TRUE,1
Bio-ORACLE,BO_sstrange,Sea surface temperature (range),Sea surface temperature is the temperature of the water at the ocean surface. This parameter indicates the temperature of the topmost meter of the ocean water column.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",5 arcmin (9.2 km),Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2009,12,31,range,NA,TRUE,1
