gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
3044644254,Alcyoniidae,Alcyonium digitatum,-2.784141,56.06512,2021,United Kingdom,iNaturalist,NA
3045416368,Alcyoniidae,Alcyonium digitatum,5.161827,60.673222,2021,Norway,nef,NA
3116896890,Alcyoniidae,Alcyonium digitatum,-6.53193,57.370963,2021,United Kingdom,HBGR,Accepted - considered correct
3112616935,Alcyoniidae,Alcyonium digitatum,-1.629411,55.630488,2021,United Kingdom,iNaturalist,NA
3330514918,Alcyoniidae,Alcyonium digitatum,-2.79505,47.562721,2021,France,iNaturalist,NA
3333251888,Alcyoniidae,Alcyonium digitatum,8.367756,56.959381,2021,Denmark,iNaturalist,NA
2561017139,Alcyoniidae,Alcyonium digitatum,6.155454,62.473942,2020,Norway,nef,NA
3019395488,Alcyoniidae,Alcyonium digitatum,-4.58333,48.33333,2020,France,BioObs,"Probable, high degree of reliability"
2563109143,Alcyoniidae,Alcyonium digitatum,6.225981,62.497867,2020,Norway,nef,NA
2609140341,Alcyoniidae,Alcyonium digitatum,-5.540958,54.366721,2020,United Kingdom,iNaturalist,NA
2850562534,Alcyoniidae,Alcyonium digitatum,-4.910749,55.746021,2020,United Kingdom,iNaturalist,NA
3302312373,Alcyoniidae,Alcyonium digitatum,8.56322,56.579753,2020,Denmark,iNaturalist,NA
2815093769,Alcyoniidae,Alcyonium digitatum,5.254686,59.43077,2020,Norway,nef,NA
3019139197,Alcyoniidae,Alcyonium digitatum,-4.45359,48.29332,2020,France,BioObs,"Probable, high degree of reliability"
3019215112,Alcyoniidae,Alcyonium digitatum,-0.37442,49.44856,2020,France,BioObs,"Probable, high degree of reliability"
3019272393,Alcyoniidae,Alcyonium digitatum,-0.25778,49.4116,2020,France,BioObs,"Probable, high degree of reliability"
3019361116,Alcyoniidae,Alcyonium digitatum,-4.60709,48.24245,2020,France,BioObs,"Probable, high degree of reliability"
2818812565,Alcyoniidae,Alcyonium digitatum,-5.115134,48.445186,2020,France,iNaturalist,NA
