gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
3031710580,Gorgoniidae,Eunicella verrucosa,-2.692226,48.655304,2021,France,iNaturalist,NA
3330453936,Gorgoniidae,Eunicella verrucosa,-2.731744,47.522071,2021,France,iNaturalist,NA
3019295659,Gorgoniidae,Eunicella verrucosa,-4.58333,48.33333,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019365266,Gorgoniidae,Eunicella verrucosa,-4.60709,48.24245,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
2818817603,Gorgoniidae,Eunicella verrucosa,-5.176242,48.46656,2020,France,iNaturalist,NA
3019092563,Gorgoniidae,Eunicella verrucosa,-2.83825,48.66512,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019148257,Gorgoniidae,Eunicella verrucosa,-2.7595,48.65628,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019311586,Gorgoniidae,Eunicella verrucosa,-2.72,48.63078,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019329305,Gorgoniidae,Eunicella verrucosa,-2.73677,48.658,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019372763,Gorgoniidae,Eunicella verrucosa,-4.64344,48.30466,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019106910,Gorgoniidae,Eunicella verrucosa,-1.75312,48.87414,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019143781,Gorgoniidae,Eunicella verrucosa,-2.071,48.68,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019169412,Gorgoniidae,Eunicella verrucosa,-1.80397,48.86395,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019176748,Gorgoniidae,Eunicella verrucosa,-2.04717,48.68742,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019183531,Gorgoniidae,Eunicella verrucosa,-2.25139,48.70778,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019201804,Gorgoniidae,Eunicella verrucosa,-2.13955,48.65528,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019207731,Gorgoniidae,Eunicella verrucosa,-2.0437,48.68324,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019209283,Gorgoniidae,Eunicella verrucosa,-3.92139,48.71083,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019220590,Gorgoniidae,Eunicella verrucosa,-2.16467,48.7015,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019266651,Gorgoniidae,Eunicella verrucosa,-1.8045,48.86983,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019300648,Gorgoniidae,Eunicella verrucosa,-3.20778,47.67139,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019108173,Gorgoniidae,Eunicella verrucosa,-2.3913,48.70152,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019142421,Gorgoniidae,Eunicella verrucosa,-2.13817,48.6687,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019164976,Gorgoniidae,Eunicella verrucosa,-2.22687,48.6495,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019175153,Gorgoniidae,Eunicella verrucosa,-2.24725,48.70793,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019266206,Gorgoniidae,Eunicella verrucosa,-2.33084,48.68806,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019310867,Gorgoniidae,Eunicella verrucosa,-2.71391,48.664790000000004,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019365678,Gorgoniidae,Eunicella verrucosa,-4.84181,48.28559,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
2992780105,Gorgoniidae,Eunicella verrucosa,-2.652123,48.755243,2020,France,iNaturalist,NA
3019167456,Gorgoniidae,Eunicella verrucosa,-3.90117,48.69464,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019235564,Gorgoniidae,Eunicella verrucosa,-3.89667,48.68667,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019348672,Gorgoniidae,Eunicella verrucosa,-3.88861,48.67722,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019365148,Gorgoniidae,Eunicella verrucosa,-1.77266,48.8692,2020,France,BioObs,Control could not be conclusive due to insufficient knowledge
2956656303,Gorgoniidae,Eunicella verrucosa,-4.992438,50.11424,2019,United Kingdom,Seasearch,Accepted - considered correct
3019315084,Gorgoniidae,Eunicella verrucosa,-3.21033,47.65539,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
2956655600,Gorgoniidae,Eunicella verrucosa,-2.311765,50.59326,2019,United Kingdom,Seasearch,Accepted - considered correct
2956492792,Gorgoniidae,Eunicella verrucosa,-8.438644,54.46681,2019,Ireland,Seasearch,Accepted - considered correct
2956931928,Gorgoniidae,Eunicella verrucosa,-5.065692,50.07255,2019,United Kingdom,Seasearch,Accepted - considered correct
2956489411,Gorgoniidae,Eunicella verrucosa,-8.251094,54.53392,2019,Ireland,Seasearch,Accepted - considered correct
2956556019,Gorgoniidae,Eunicella verrucosa,-8.246942,54.53543,2019,Ireland,Seasearch,Accepted - considered correct
2956704950,Gorgoniidae,Eunicella verrucosa,-4.997279,50.12274,2019,United Kingdom,Seasearch,Accepted - considered correct
2956844329,Gorgoniidae,Eunicella verrucosa,-4.147687,50.33409,2019,United Kingdom,Seasearch,Accepted - considered correct
2957192167,Gorgoniidae,Eunicella verrucosa,-6.27408,49.92439,2019,United Kingdom,Seasearch,Accepted - considered correct
2957410958,Gorgoniidae,Eunicella verrucosa,-5.043951,50.04425,2019,United Kingdom,Seasearch,Accepted - considered correct
3019103725,Gorgoniidae,Eunicella verrucosa,-3.61803,48.77783,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019190566,Gorgoniidae,Eunicella verrucosa,-3.60858,48.77668,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019328378,Gorgoniidae,Eunicella verrucosa,-3.61259,48.78948,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
2429598877,Gorgoniidae,Eunicella verrucosa,-3.980954,48.72541,2019,France,iNaturalist,NA
2429599740,Gorgoniidae,Eunicella verrucosa,-3.804382,48.702004,2019,France,iNaturalist,NA
2429600357,Gorgoniidae,Eunicella verrucosa,-3.887887,48.67348,2019,France,iNaturalist,NA
2956464688,Gorgoniidae,Eunicella verrucosa,-9.162517,53.15057,2019,Ireland,Seasearch,Accepted - considered correct
2956473077,Gorgoniidae,Eunicella verrucosa,-5.299721,51.85683,2019,United Kingdom,Seasearch,Accepted - considered correct
2956537427,Gorgoniidae,Eunicella verrucosa,-2.805545,50.6832,2019,United Kingdom,Seasearch,Accepted - considered correct
2956591721,Gorgoniidae,Eunicella verrucosa,-8.452,54.58746,2019,Ireland,Seasearch,Accepted - considered correct
2956696706,Gorgoniidae,Eunicella verrucosa,-4.947988,50.59408,2019,United Kingdom,Seasearch,Accepted - considered correct
2956701114,Gorgoniidae,Eunicella verrucosa,-5.559498,50.05304,2019,United Kingdom,Seasearch,Accepted - considered correct
2956741443,Gorgoniidae,Eunicella verrucosa,-2.9146,50.67406,2019,United Kingdom,Seasearch,Accepted - considered correct
2956756032,Gorgoniidae,Eunicella verrucosa,-5.559505,50.05295,2019,United Kingdom,Seasearch,Accepted - considered correct
2956884065,Gorgoniidae,Eunicella verrucosa,-4.939638,50.14213,2019,United Kingdom,Seasearch,Accepted - considered correct
2956918917,Gorgoniidae,Eunicella verrucosa,-4.266813,50.17984,2019,United Kingdom,Seasearch,Accepted - considered correct
2956969970,Gorgoniidae,Eunicella verrucosa,-2.866246,50.69843,2019,United Kingdom,Seasearch,Accepted - considered correct
2957043976,Gorgoniidae,Eunicella verrucosa,-5.107415,50.5321,2019,United Kingdom,Seasearch,Accepted - considered correct
2957095508,Gorgoniidae,Eunicella verrucosa,-2.866827,50.69843,2019,United Kingdom,Seasearch,Accepted - considered correct
2957186458,Gorgoniidae,Eunicella verrucosa,-5.572839,50.05034,2019,United Kingdom,Seasearch,Accepted - considered correct
2957238255,Gorgoniidae,Eunicella verrucosa,-4.261067,50.17921,2019,United Kingdom,Seasearch,Accepted - considered correct
2957335889,Gorgoniidae,Eunicella verrucosa,-2.461798,50.55634,2019,United Kingdom,Seasearch,Accepted - considered correct
2957560857,Gorgoniidae,Eunicella verrucosa,-2.914572,50.67406,2019,United Kingdom,Seasearch,Accepted - considered correct
3019079250,Gorgoniidae,Eunicella verrucosa,-2.27538,48.66203,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019082314,Gorgoniidae,Eunicella verrucosa,-4.31428,47.77241,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019140176,Gorgoniidae,Eunicella verrucosa,-2.19042,48.67104,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019191750,Gorgoniidae,Eunicella verrucosa,-4.37484,47.79277,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019225747,Gorgoniidae,Eunicella verrucosa,-4.41294,48.10691,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019306420,Gorgoniidae,Eunicella verrucosa,-4.31578,47.77934,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019384107,Gorgoniidae,Eunicella verrucosa,-3.88804,48.67397,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019389654,Gorgoniidae,Eunicella verrucosa,-4.40661,48.10393,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
2429600365,Gorgoniidae,Eunicella verrucosa,-3.952555,48.692803,2019,France,iNaturalist,NA
2956433413,Gorgoniidae,Eunicella verrucosa,-2.482667,49.44007,2019,Guernsey,Seasearch,Accepted - considered correct
2956445732,Gorgoniidae,Eunicella verrucosa,-2.524995,49.43789,2019,Guernsey,Seasearch,Accepted - considered correct
2956446648,Gorgoniidae,Eunicella verrucosa,-2.653903,49.48949,2019,Guernsey,Seasearch,Accepted - considered correct
2956448465,Gorgoniidae,Eunicella verrucosa,-2.072547,49.26102,2019,Jersey,Seasearch,Accepted - considered correct
2956516650,Gorgoniidae,Eunicella verrucosa,-8.459793,54.56633,2019,Ireland,Seasearch,Accepted - considered correct
2956578798,Gorgoniidae,Eunicella verrucosa,-4.972717,50.7123,2019,United Kingdom,Seasearch,Accepted - considered correct
2956585548,Gorgoniidae,Eunicella verrucosa,-5.044754,50.04535,2019,United Kingdom,Seasearch,Accepted - considered correct
2956585885,Gorgoniidae,Eunicella verrucosa,-2.417525,50.58543,2019,United Kingdom,Seasearch,Accepted - considered correct
2956755912,Gorgoniidae,Eunicella verrucosa,-4.768295,50.72077,2019,United Kingdom,Seasearch,Accepted - considered correct
2956839493,Gorgoniidae,Eunicella verrucosa,-2.327682,50.58826,2019,United Kingdom,Seasearch,Accepted - considered correct
2956850856,Gorgoniidae,Eunicella verrucosa,-5.046354,50.04535,2019,United Kingdom,Seasearch,Accepted - considered correct
2956928134,Gorgoniidae,Eunicella verrucosa,-5.052298,50.06031,2019,United Kingdom,Seasearch,Accepted - considered correct
2957007159,Gorgoniidae,Eunicella verrucosa,-4.885249,50.60213,2019,United Kingdom,Seasearch,Accepted - considered correct
2957289137,Gorgoniidae,Eunicella verrucosa,-4.923432,50.59444,2019,United Kingdom,Seasearch,Accepted - considered correct
2957360907,Gorgoniidae,Eunicella verrucosa,-3.035217,50.64106,2019,United Kingdom,Seasearch,Accepted - considered correct
2957386895,Gorgoniidae,Eunicella verrucosa,-5.052133,50.06002,2019,United Kingdom,Seasearch,Accepted - considered correct
2957513478,Gorgoniidae,Eunicella verrucosa,-5.110302,50.43973,2019,United Kingdom,Seasearch,Accepted - considered correct
2957772738,Gorgoniidae,Eunicella verrucosa,-5.045714,50.04529,2019,United Kingdom,Seasearch,Accepted - considered correct
2957805414,Gorgoniidae,Eunicella verrucosa,-3.967675,50.28625,2019,United Kingdom,Seasearch,Accepted - considered correct
2957850051,Gorgoniidae,Eunicella verrucosa,-5.100584,50.54072,2019,United Kingdom,Seasearch,Accepted - considered correct
2957892651,Gorgoniidae,Eunicella verrucosa,-2.450529,50.55909,2019,United Kingdom,Seasearch,Accepted - considered correct
3019071869,Gorgoniidae,Eunicella verrucosa,-4.34995,47.76774,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019076134,Gorgoniidae,Eunicella verrucosa,-4.56941,48.2899,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019079667,Gorgoniidae,Eunicella verrucosa,-2.88827,48.70064,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019109300,Gorgoniidae,Eunicella verrucosa,-4.58097,48.30566,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019111989,Gorgoniidae,Eunicella verrucosa,-4.38698,47.78231,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019140361,Gorgoniidae,Eunicella verrucosa,-1.86507,48.87233,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019182562,Gorgoniidae,Eunicella verrucosa,-2.71478,48.63977,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019221523,Gorgoniidae,Eunicella verrucosa,-3.20879,47.66271,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019291563,Gorgoniidae,Eunicella verrucosa,-4.37574,47.78259,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019355825,Gorgoniidae,Eunicella verrucosa,-3.46667,47.65,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3039170409,Gorgoniidae,Eunicella verrucosa,-9.642052,52.689297,2019,Ireland,iNaturalist,NA
2956451862,Gorgoniidae,Eunicella verrucosa,-2.473732,49.43765,2019,Guernsey,Seasearch,Accepted - considered correct
2956545672,Gorgoniidae,Eunicella verrucosa,-2.329678,50.58679,2019,United Kingdom,Seasearch,Accepted - considered correct
2957045666,Gorgoniidae,Eunicella verrucosa,-4.267379,50.17937,2019,United Kingdom,Seasearch,Accepted - considered correct
2957191482,Gorgoniidae,Eunicella verrucosa,-3.804659,50.20675,2019,United Kingdom,Seasearch,Accepted - considered correct
2957191493,Gorgoniidae,Eunicella verrucosa,-4.067998,50.29226,2019,United Kingdom,Seasearch,Accepted - considered correct
2957247280,Gorgoniidae,Eunicella verrucosa,-4.267371,50.17919,2019,United Kingdom,Seasearch,Accepted - considered correct
2957462997,Gorgoniidae,Eunicella verrucosa,-4.068005,50.2921,2019,United Kingdom,Seasearch,Accepted - considered correct
2957511787,Gorgoniidae,Eunicella verrucosa,-5.034452,50.66758,2019,United Kingdom,Seasearch,Accepted - considered correct
2957513761,Gorgoniidae,Eunicella verrucosa,-2.454898,50.54361,2019,United Kingdom,Seasearch,Accepted - considered correct
2957522554,Gorgoniidae,Eunicella verrucosa,-5.02282,50.12701,2019,United Kingdom,Seasearch,Accepted - considered correct
2957727464,Gorgoniidae,Eunicella verrucosa,-5.230894,50.3332,2019,United Kingdom,Seasearch,Accepted - considered correct
2957892715,Gorgoniidae,Eunicella verrucosa,-5.056934,50.5451,2019,United Kingdom,Seasearch,Accepted - considered correct
3019074846,Gorgoniidae,Eunicella verrucosa,-2.66963,48.7496,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019122590,Gorgoniidae,Eunicella verrucosa,-5.11641,48.4452,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019127536,Gorgoniidae,Eunicella verrucosa,-3.4281,47.64194,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019190035,Gorgoniidae,Eunicella verrucosa,-4.62593,48.31562,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
2956437700,Gorgoniidae,Eunicella verrucosa,-2.280594,49.2438,2019,Jersey,Seasearch,Accepted - considered correct
2956447606,Gorgoniidae,Eunicella verrucosa,-1.912851,49.27913,2019,Jersey,Seasearch,Accepted - considered correct
2956453571,Gorgoniidae,Eunicella verrucosa,-2.188715,49.28431,2019,Jersey,Seasearch,Accepted - considered correct
2956580590,Gorgoniidae,Eunicella verrucosa,-3.060261,50.64146,2019,United Kingdom,Seasearch,Accepted - considered correct
2956661713,Gorgoniidae,Eunicella verrucosa,-3.03518,50.6484,2019,United Kingdom,Seasearch,Accepted - considered correct
2956787774,Gorgoniidae,Eunicella verrucosa,-2.28019,50.61782,2019,United Kingdom,Seasearch,Accepted - considered correct
2956850613,Gorgoniidae,Eunicella verrucosa,-4.339717,50.20908,2019,United Kingdom,Seasearch,Accepted - considered correct
2956885869,Gorgoniidae,Eunicella verrucosa,-2.808638,50.68114,2019,United Kingdom,Seasearch,Accepted - considered correct
2956929122,Gorgoniidae,Eunicella verrucosa,-4.116689,50.30225,2019,United Kingdom,Seasearch,Accepted - considered correct
2957049066,Gorgoniidae,Eunicella verrucosa,-2.808641,50.68132,2019,United Kingdom,Seasearch,Accepted - considered correct
2957092600,Gorgoniidae,Eunicella verrucosa,-2.060819,50.57609,2019,United Kingdom,Seasearch,Accepted - considered correct
2957146911,Gorgoniidae,Eunicella verrucosa,-3.060271,50.64128,2019,United Kingdom,Seasearch,Accepted - considered correct
2957281301,Gorgoniidae,Eunicella verrucosa,-5.04315,50.04551,2019,United Kingdom,Seasearch,Accepted - considered correct
2957341706,Gorgoniidae,Eunicella verrucosa,-4.244196,50.32659,2019,United Kingdom,Seasearch,Accepted - considered correct
2957356897,Gorgoniidae,Eunicella verrucosa,-4.669557,51.20147,2019,United Kingdom,Seasearch,Accepted - considered correct
2957411680,Gorgoniidae,Eunicella verrucosa,-5.12552,50.00176,2019,United Kingdom,Seasearch,Accepted - considered correct
2957601181,Gorgoniidae,Eunicella verrucosa,-4.043038,50.28815,2019,United Kingdom,Seasearch,Accepted - considered correct
2957696737,Gorgoniidae,Eunicella verrucosa,-4.956155,50.71278,2019,United Kingdom,Seasearch,Accepted - considered correct
2957809804,Gorgoniidae,Eunicella verrucosa,-2.808647,50.66931,2019,United Kingdom,Seasearch,Accepted - considered correct
2957847241,Gorgoniidae,Eunicella verrucosa,-2.2055,50.61327,2019,United Kingdom,Seasearch,Accepted - considered correct
3019101037,Gorgoniidae,Eunicella verrucosa,-4.77176,48.46842,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019132314,Gorgoniidae,Eunicella verrucosa,-5.12111,48.45028,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019138362,Gorgoniidae,Eunicella verrucosa,-4.55308,48.33936,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019169725,Gorgoniidae,Eunicella verrucosa,-4.24004,47.78482,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019171938,Gorgoniidae,Eunicella verrucosa,-5.05694,48.47903,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019197570,Gorgoniidae,Eunicella verrucosa,-5.12791,48.43842,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019241558,Gorgoniidae,Eunicella verrucosa,-4.32923,47.67485,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
3019246502,Gorgoniidae,Eunicella verrucosa,-5.1424,48.4449,2019,France,BioObs,Control could not be conclusive due to insufficient knowledge
